polumoolymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,city
251,,Cafe Madrid,colombia-santander-bucaramanga-7501003-cafe-madrid,7501003,,SRID=4326;POINT(-73.140815 7.161674),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Las Hamacas,colombia-santander-bucaramanga-7501004-las-hamacas,7501004,,SRID=4326;POINT(-73.138078 7.158126),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Kennedy,colombia-santander-bucaramanga-7501006-kennedy,7501006,,SRID=4326;POINT(-73.134634 7.15167),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,San Rafael,colombia-santander-bucaramanga-7501044-san-rafael,7501044,,SRID=4326;POINT(-73.135114 7.139485),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Chapinero,colombia-santander-bucaramanga-7501046-chapinero,7501046,,SRID=4326;POINT(-73.13191 7.13805),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,La Universidad,colombia-santander-bucaramanga-7501048-la-universidad,7501048,,SRID=4326;POINT(-73.125622 7.137132),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Mutualidad,colombia-santander-bucaramanga-7501049-mutualidad,7501049,,SRID=4326;POINT(-73.124679 7.135274),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Modelo,colombia-santander-bucaramanga-7501050-modelo,7501050,,SRID=4326;POINT(-73.129297 7.134547),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,San Francisco,colombia-santander-bucaramanga-7501051-san-francisco,7501051,,SRID=4326;POINT(-73.122265 7.130211),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Alarcon,colombia-santander-bucaramanga-7501052-alarcon,7501052,,SRID=4326;POINT(-73.121137 7.126466),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Gaitan,colombia-santander-bucaramanga-7501055-gaitan,7501055,,SRID=4326;POINT(-73.134064 7.13148),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Granadas,colombia-santander-bucaramanga-7501056-granadas,7501056,,SRID=4326;POINT(-73.130069 7.123854),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Girardot,colombia-santander-bucaramanga-7501058-girardot,7501058,,SRID=4326;POINT(-73.134712 7.122318),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Chorreras de Don Juan,colombia-santander-bucaramanga-7501076-chorreras-de-don-juan,7501076,,SRID=4326;POINT(-73.130128 7.11063),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Campohermoso,colombia-santander-bucaramanga-7501077-campohermoso,7501077,,SRID=4326;POINT(-73.138814 7.104936),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,La Concordia,colombia-santander-bucaramanga-7501088-la-concordia,7501088,,SRID=4326;POINT(-73120703 7112674),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Ricaurte,colombia-santander-bucaramanga-7501092-ricaurte,7501092,,SRID=4326;POINT(-73.116086 7.107081),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,La Ceiba,colombia-santander-bucaramanga-7501093-la-ceiba,7501093,,SRID=4326;POINT(-73.115005 7.105093),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,La Salle,colombia-santander-bucaramanga-7501094-la-salle,7501094,,SRID=4326;POINT(-73.112034 7.101433),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,La Victoria,colombia-santander-bucaramanga-7501095-la-victoria,7501095,,SRID=4326;POINT(-73.116644 7.100617),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Ciudadela Real de Minas,colombia-santander-bucaramanga-7501096-ciudadela-real-de-minas,7501096,,SRID=4326;POINT(-73.122782 7.104033),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Ciudad Bolivar,colombia-santander-bucaramanga-7501098-ciudad-bolivar,7501098,,SRID=4326;POINT(-73.125697 7.097514),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Los Naranjos,colombia-santander-bucaramanga-7501101-los-naranjos,7501101,,SRID=4326;POINT(-73.125997 7.101867),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Diamante I,colombia-santander-bucaramanga-7501124-diamante-i,7501124,,SRID=4326;POINT(-73.116735 7.091622),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Asturias,colombia-santander-bucaramanga-7501126-asturias,7501126,,SRID=4326;POINT(-73.107507 7.089288),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Diamante II,colombia-santander-bucaramanga-7501131-diamante-ii,7501131,,SRID=4326;POINT(-73.117028 7.090985),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,San Luis,colombia-santander-bucaramanga-7501132-san-luis,7501132,,SRID=4326;POINT(-73.118742 7.091622),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Provenza,colombia-santander-bucaramanga-7501133-provenza,7501133,,SRID=4326;POINT(-73.115215 7.082634),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Fontana,colombia-santander-bucaramanga-7501135-fontana,7501135,,SRID=4326;POINT(-73.121413 7.088054),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Toledo Plata,colombia-santander-bucaramanga-7501141-toledo-plata,7501141,,SRID=4326;POINT(-73.122269 7.07993),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
251,,Jardines de Coaviconsa,colombia-santander-bucaramanga-7501148-jardines-de-coaviconsa,7501148,,SRID=4326;POINT(-73.123739 7.0879),1,1,2021-10-01 13:22:28,2021-10-01 13:22:28,69320986-49c4-4df9-a4c7-74b850e148d8
