polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,group,location
249,,Norte-Centro,colombia-santander-bucaramanga-7500101-norte-centro,7500101,,SRID=4326;POINT(-73.138135 7.156373),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501003,7501004,7501006"
249,,Occidente-Sur,colombia-santander-bucaramanga-7500102-occidente-sur,7500102,,SRID=4326;POINT(-73.128108 7.149964),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,7500007
249,,Oriente,colombia-santander-bucaramanga-7500103-oriente,7500103,,SRID=4326;POINT(-73.120055 7.128506),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501044,7501046,7501048,7501049,7501050,7501051,7501052"
249,,Occidental,colombia-santander-bucaramanga-7500104-occidental,7500104,,SRID=4326;POINT(-73.133662 7.117188),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501055,7501056,7501058"
249,,García Rovira,colombia-santander-bucaramanga-7500105-garcía-rovira,7500105,,SRID=4326;POINT(-73.129351 7.107935),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501076,7501077"
249,,La Concordia,colombia-santander-bucaramanga-7500106-la-concordia,7500106,,SRID=4326;POINT(-73.11392 7.11469),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501088,7501092,7501093,7501094,7501095"
249,,La Ciudadela,colombia-santander-bucaramanga-7500107-la-ciudadela,7500107,,SRID=4326;POINT(-73.117056 7.109447),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7501096,7501098,7501101"
249,,Sur Oriental,colombia-santander-bucaramanga-7500108-sur-oriental,7500108,,SRID=4326;POINT(-73.115727 7.099893),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,7500007
249,,La Pedregosa,colombia-santander-bucaramanga-7500109-la-pedregosa,7500109,,SRID=4326;POINT(-73.104978 7.090736),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501124,7501126"
249,,Provenza,colombia-santander-bucaramanga-7500110-provenza,7500110,,SRID=4326;POINT(-73.101425 7.079429),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501131,7501132,7501133,7501135"
249,,Sur,colombia-santander-bucaramanga-7500111-sur,7500111,,SRID=4326;POINT(-73.119937 7.08585),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501141,7501148,7501151,7501152,7501205"
249,,Cabecera del Llano,colombia-santander-bucaramanga-7500112-cabecera-del-llano,7500112,,SRID=4326;POINT(-73.106826 7.114524),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501154,7501155,7501203,7501156,7501157,7501159,7501160,7501163,7501164,7501165"
249,,Centro Oriental,colombia-santander-bucaramanga-7500113-centro-oriental,7500113,,SRID=4326;POINT(-73.111093 7.125512),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501166,7501167,7501168,7501169,7501171,7501172,7501173,7501174,7501175"
249,,Morrorico,colombia-santander-bucaramanga-7500114-morrorico,7500114,,SRID=4326;POINT(-73.103058 7.132005),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,7500007
249,,Centro,colombia-santander-bucaramanga-7500115-centro,7500115,,SRID=4326;POINT(-73.118476 7.122153),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501186,7501187"
249,,Lagos del Cacique,colombia-santander-bucaramanga-7500116-lagos-del-cacique,7500116,,SRID=4326;POINT(-73.118476 7.122153),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,"7500007,7501188,7501189,7501204"
249,,Mutis,colombia-santander-bucaramanga-7500117-mutis,7500117,,SRID=4326;POINT(-73.118476 7.122153),1,1,2021-10-01 17:36:09,2021-10-01 17:36:09,zonas,7500007
