polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,city
251,,El Rosal,colombia-santander-bucaramanga-7501001-el-rosal,7501001,,SRID=4326;POINT(-73.13705 7.17779),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Colorados,colombia-santander-bucaramanga-7501002-colorados,7501002,,SRID=4326;POINT(-73.131804 7.178867),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Altos del Kennedy,colombia-santander-bucaramanga-7501005-altos-del-kennedy,7501005,,SRID=4326;POINT(-73.136883 7.15629),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Balcones del Kennedy,colombia-santander-bucaramanga-7501007-balcones-del-kennedy,7501007,,SRID=4326;POINT(-73.139019 7.154951),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Las Olas,colombia-santander-bucaramanga-7501008-las-olas,7501008,,SRID=4326;POINT(-73.133454 7.143555),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Villa Rosa sectores I  II y III,colombia-santander-bucaramanga-7501009-villa-rosa-sectores-i--ii-y-iii,7501009,,SRID=4326;POINT(-73.129926 7.15208),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Omagá sectores I y II,colombia-santander-bucaramanga-7501010-omaga-sectores-i-y-ii,7501010,,SRID=4326;POINT(-73.134379 7.149736),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Minuto de Dios,colombia-santander-bucaramanga-7501011-minuto-de-dios,7501011,,SRID=4326;POINT(-73.133242 7.148755),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Tejar Norte sectores I y II,colombia-santander-bucaramanga-7501012-tejar-norte-sectores-i-y-ii,7501012,,SRID=4326;POINT(-73.135481 7.14959),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Miramar,colombia-santander-bucaramanga-7501013-miramar,7501013,,SRID=4326;POINT(-73.131708 7.147484),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Miradores de Kennedy,colombia-santander-bucaramanga-7501014-miradores-de-kennedy,7501014,,SRID=4326;POINT(-73.13764 7.155944),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,El Pablón Villa Lina,colombia-santander-bucaramanga-7501015-el-pablon-villa-lina,7501015,,SRID=4326;POINT(-73.14304 7.179591),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,La Torre,colombia-santander-bucaramanga-7501016-la-torre,7501016,,SRID=4326;POINT(-73.14304 7.179591),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Villa Patricia,colombia-santander-bucaramanga-7501017-villa-patricia,7501017,,SRID=4326;POINT(-73.14304 7.179591),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Sector Don Juan,colombia-santander-bucaramanga-7501018-sector-don-juan,7501018,,SRID=4326;POINT(-73.14304 7.179591),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Pablón Alto y Bajo,colombia-santander-bucaramanga-7501019-pablon-alto-y-bajo,7501019,,SRID=4326;POINT(-73.14304 7.179591),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Barrio Nuevo,colombia-santander-bucaramanga-7501020-barrio-nuevo,7501020,,SRID=4326;POINT(-73.134892 7.172154),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Divino Niño,colombia-santander-bucaramanga-7501021-divino-nino,7501021,,SRID=4326;POINT(-73.134892 7.172154),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,13 de Junio,colombia-santander-bucaramanga-7501022-13-de-junio,7501022,,SRID=4326;POINT(-73.134892 7.172154),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Altos del Progreso,colombia-santander-bucaramanga-7501023-altos-del-progreso,7501023,,SRID=4326;POINT(-73.134892 7.172154),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,María Paz,colombia-santander-bucaramanga-7501024-maria-paz,7501024,,SRID=4326;POINT(-73.134892 7.172154),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Los Angeles,colombia-santander-bucaramanga-7501025-los-angeles,7501025,,SRID=4326;POINT(-73.124783 7.153025),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Villa Helena I y II,colombia-santander-bucaramanga-7501026-villa-helena-i-y-ii,7501026,,SRID=4326;POINT(-73.127113 7.152849),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,José María Córdoba,colombia-santander-bucaramanga-7501027-jose-maria-cordoba,7501027,,SRID=4326;POINT(-73.127113 7.152849),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Esperanza I  II y III,colombia-santander-bucaramanga-7501028-esperanza-i--ii-y-iii,7501028,,SRID=4326;POINT(-73.125671 7.147481),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Lizcano I y II,colombia-santander-bucaramanga-7501029-lizcano-i-y-ii,7501029,,SRID=4326;POINT(-73.125672 7.148922),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Regadero Norte,colombia-santander-bucaramanga-7501030-regadero-norte,7501030,,SRID=4326;POINT(-73.123579 7.14666),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,San Cristóbal,colombia-santander-bucaramanga-7501031-san-cristobal,7501031,,SRID=4326;POINT(-73.125776 7.144342),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,La Juventud,colombia-santander-bucaramanga-7501032-la-juventud,7501032,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Transición I  II III IV y V,colombia-santander-bucaramanga-7501033-transicion-i--ii-iii-iv-y-v,7501033,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,La Independencia,colombia-santander-bucaramanga-7501034-la-independencia,7501034,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Villa Mercedes,colombia-santander-bucaramanga-7501035-villa-mercedes,7501035,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Bosque Norte,colombia-santander-bucaramanga-7501036-bosque-norte,7501036,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Mesetas del Santuario,colombia-santander-bucaramanga-7501037-mesetas-del-santuario,7501037,,SRID=4326;POINT(-73.128108 7.149964),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Villa María,colombia-santander-bucaramanga-7501038-villa-maria,7501038,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Mirador,colombia-santander-bucaramanga-7501039-mirador,7501039,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Primaveral,colombia-santander-bucaramanga-7501040-primaveral,7501040,,SRID=4326;POINT(-73.128108 7.149964),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Olitas,colombia-santander-bucaramanga-7501041-olitas,7501041,,SRID=4326;POINT(-73.128108 7.149964),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Olas II,colombia-santander-bucaramanga-7501042-olas-ii,7501042,,SRID=4326;POINT(-73.128108 7.149964),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Norte Bajo,colombia-santander-bucaramanga-7501043-norte-bajo,7501043,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,El Cinal,colombia-santander-bucaramanga-7501045-el-cinal,7501045,,SRID=4326;POINT(-73.120055 7.128506),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Comuneros,colombia-santander-bucaramanga-7501047-comuneros,7501047,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Puerto Rico,colombia-santander-bucaramanga-7501053-puerto-rico,7501053,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,UIS,colombia-santander-bucaramanga-7501054-uis,7501054,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Nariño,colombia-santander-bucaramanga-7501057-narino,7501057,,SRID=4326;POINT(-73.133662 7.117188),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,La Feria,colombia-santander-bucaramanga-7501059-la-feria,7501059,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Napoles,colombia-santander-bucaramanga-7501060-napoles,7501060,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Pío Xll,colombia-santander-bucaramanga-7501061-pio-xll,7501061,,SRID=4326;POINT(-73.133662 7.117188),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,23 de Junio,colombia-santander-bucaramanga-7501062-23-de-junio,7501062,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Santander,colombia-santander-bucaramanga-7501063-santander,7501063,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Don Bosco,colombia-santander-bucaramanga-7501064-don-bosco,7501064,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,12 de Octubre,colombia-santander-bucaramanga-7501065-12-de-octubre,7501065,,SRID=4326;POINT(-73.133662 7.117188),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,La Gloria,colombia-santander-bucaramanga-7501066-la-gloria,7501066,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Camilo Torres,colombia-santander-bucaramanga-7501067-camilo-torres,7501067,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Zarabanda,colombia-santander-bucaramanga-7501068-zarabanda,7501068,,SRID=4326;POINT(-73.17109 7.102514),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Granjas de Palonegro Norte,colombia-santander-bucaramanga-7501069-granjas-de-palonegro-norte,7501069,,SRID=4326;POINT(-73.133662 7.117188),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
251,,Granjas de Palonegro Sur,colombia-santander-bucaramanga-7501070-granjas-de-palonegro-sur,7501070,,SRID=4326;POINT(-73.133662 7.117188),1,1,2021-10-21 13:35:25,2021-10-21 13:35:25,7500007
