polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,group,location
249,,Zona Norte - Centro,colombia-santander-bucaramanga-7500101-zona-norte-centro,7500101,,SRID=4326;POINT(-73.138135 7.156373),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501001,7501002,7501003,7501004,7501005,7501006,7501007,7501008,7501009,7501010,7501011,7501012,7501013,7501014,7501015,7501016,7501017,7501018,7501019,7501020,7501021,7501022,7501023,7501024"
249,,Zona Occidente - Sur,colombia-santander-bucaramanga-7500102-zona-occidente-sur,7500102,,SRID=4326;POINT(-73.128108 7.149964),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501025,7501026,7501027,7501028,7501029,7501030,7501031,7501032,7501033,7501034,7501035,7501036,7501037,7501038,7501039,7501040,7501041,7501042"
249,,Zona Oriente,colombia-santander-bucaramanga-7500103-zona-oriente,7500103,,SRID=4326;POINT(-73.120055 7.128506),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501043,7501044,7501045,7501046,7501047,7501048,7501049,7501050,7501051,7501052,7501053,7501054"
249,,Zona Occidental,colombia-santander-bucaramanga-7500104-zona-occidental,7500104,,SRID=4326;POINT(-73.133662 7.117188),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501055,7501056,7501057,7501058,7501059,7501060,7501061,7501062,7501063,7501064,7501065,7501066,7501067,7501068,7501069,7501070,7501071,7501072"
249,,Zona García Rovira,colombia-santander-bucaramanga-7500105-zona-garcia-rovira,7500105,,SRID=4326;POINT(-73.129351 7.107935),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501073,7501074,7501075,7501076,7501077,7501078,7501079,7501080,7501081,7501082,7501083,7501084,7501085,7501086,7501087"
249,,Zona La Concordia,colombia-santander-bucaramanga-7500106-zona-la-concordia,7500106,,SRID=4326;POINT(-73.11392 7.11469),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501088,7501089,7501090,7501091,7501092,7501093,7501094,7501095"
249,,Zona La Ciudadela,colombia-santander-bucaramanga-7500107-zona-la-ciudadela,7500107,,SRID=4326;POINT(-73.117056 7.109447),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501096,7501097,7501098,7501099,7501100,7501101,7501102,7501103"
249,,Zona Sur Oriental,colombia-santander-bucaramanga-7500108-zona-sur-oriental,7500108,,SRID=4326;POINT(-73.115727 7.099893),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501104,7501105,7501106,7501107,7501108,7501109,7501110,7501111,7501112,7501113,7501114,7501115,7501116"
249,,Zona La Pedregosa,colombia-santander-bucaramanga-7500109-zona-la-pedregosa,7500109,,SRID=4326;POINT(-73.104978 7.090736),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501117,7501118,7501119,7501120,7501121,7501122,7501123,7501124,7501125,7501126,7501127,7501128,7501129,7501130"
249,,Zona Provenza,colombia-santander-bucaramanga-7500110-zona-provenza,7500110,,SRID=4326;POINT(-73.101425 7.079429),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501131,7501132,7501133,7501134,7501135,7501136,7501137"
249,,Zona Sur,colombia-santander-bucaramanga-7500111-zona-sur,7500111,,SRID=4326;POINT(-73.119937 7.08585),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501138,7501139,7501140,7501141,7501142,7501143,7501144,7501145,7501146,7501147,7501148,7501149,7501150,7501151,7501152,7501153,7501205"
249,,Zona Cabecera del Llano,colombia-santander-bucaramanga-7500112-zona-cabecera-del-llano,7500112,,SRID=4326;POINT(-73.106826 7.114524),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501154,7501155,7501203,7501156,7501157,7501158,7501159,7501160,7501161,7501162,7501163,7501164,7501165"
249,,Zona Centro Oriental,colombia-santander-bucaramanga-7500113-zona-centro-oriental,7500113,,SRID=4326;POINT(-73.111093 7.125512),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501166,7501167,7501168,7501169,7501170,7501171,7501172,7501173,7501174,7501175,7501176,7501177"
249,,Zona Morrorico,colombia-santander-bucaramanga-7500114-zona-morrorico,7500114,,SRID=4326;POINT(-73.103058 7.132005),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501178,7501179,7501180,7501181,7501182,7501183,7501184,7501185"
249,,Zona Centro,colombia-santander-bucaramanga-7500115-zona-centro,7500115,,SRID=4326;POINT(-73.118476 7.122153),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501186,7501187"
249,,Zona Lagos del Cacique,colombia-santander-bucaramanga-7500116-zona-lagos-del-cacique,7500116,,SRID=4326;POINT(-73.098191 7.099425),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501188,7501189,7501190,7501191,7501192,7501193,7501194,7501195,7501196,7501204"
249,,Zona Mutis,colombia-santander-bucaramanga-7500117-zona-mutis,7500117,,SRID=4326;POINT(-73.127467 7.100609),1,1,2021-10-25 20:7:11,2021-10-25 20:7:11,zonas,"7500007,7501197,7501198,7501199,7501200,7501201,7501202"
