polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,city
251,,AER INTER RAFAEL NUÑEZ,colombia-bolivar-cartagena-5801001-aer-inter-rafael-nunez,5801001,,SRID=4326;POINT(-75.510791 10.440159),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,CRESPO,colombia-bolivar-cartagena-5801002-crespo,5801002,,SRID=4326;POINT(-75.518483 10.447525),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,MARBELLA,colombia-bolivar-cartagena-5801003-marbella,5801003,,SRID=4326;POINT(-75.532654 10.437609),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,DANIEL LEMAITRE,colombia-bolivar-cartagena-5801004-daniel-lemaitre,5801004,,SRID=4326;POINT(-75.520244 10.437131),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,SANTA MARIA,colombia-bolivar-cartagena-5801005-santa-maria,5801005,,SRID=4326;POINT(-75.517365 10.44114),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,CANAPOTE,colombia-bolivar-cartagena-5801006-canapote,5801006,,SRID=4326;POINT(-75.524146 10.439998),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,SAN PEDRO Y LIBERTAD,colombia-bolivar-cartagena-5801007-san-pedro-y-libertad,5801007,,SRID=4326;POINT(-75.530376 10.437762),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,SIETE DE AGOSTO,colombia-bolivar-cartagena-5801008-siete-de-agosto,5801008,,SRID=4326;POINT(-75.51484 10.439358),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,CONJUNTO RESIDENCIAL SAN JUAN,colombia-bolivar-cartagena-5801009-conjunto-residencial-san-juan,5801009,,SRID=4326;POINT(-75.518212 10.439025),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,URBANIZACION PORTAL DEL VIRREY,colombia-bolivar-cartagena-5801010-urbanizacion-portal-del-virrey,5801010,,SRID=4326;POINT(-75.516616 10.43827),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,SAN FRANCISCO,colombia-bolivar-cartagena-5801011-san-francisco,5801011,,SRID=4326;POINT(-75.516551 10.430993),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,PABLO VIII,colombia-bolivar-cartagena-5801012-pablo-viii,5801012,,SRID=4326;POINT(-75.524176 10.434995),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,PEDRO SALAZAR,colombia-bolivar-cartagena-5801013-pedro-salazar,5801013,,SRID=4326;POINT(-75.525688 10.43563),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,LOS COMUNEROS,colombia-bolivar-cartagena-5801014-los-comuneros,5801014,,SRID=4326;POINT(-75.526472 10.434192),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,EL CABRERO,colombia-bolivar-cartagena-5801015-el-cabrero,5801015,,SRID=4326;POINT(-75.542828 10.433033),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,PETARE,colombia-bolivar-cartagena-5801016-petare,5801016,,SRID=4326;POINT(-75.525834 10.433209),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,LA PAZ,colombia-bolivar-cartagena-5801017-la-paz,5801017,,SRID=4326;POINT(-75.520593 10.432596),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,PALESTINA,colombia-bolivar-cartagena-5801018-palestina,5801018,,SRID=4326;POINT(-75.524125 10.431917),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,REPUBLICA DEL CARIBE,colombia-bolivar-cartagena-5801019-republica-del-caribe,5801019,,SRID=4326;POINT(-75.524754 10.432453),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,PAPAYAL,colombia-bolivar-cartagena-5801020-papayal,5801020,,SRID=4326;POINT(-75.537198 10.432744),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,PARAISO II,colombia-bolivar-cartagena-5801021-paraiso-ii,5801021,,SRID=4326;POINT(-75.526412 10.430971),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,PABLO VI,colombia-bolivar-cartagena-5801022-pablo-vi,5801022,,SRID=4326;POINT(-75.527324 10.431856),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,SAN DIEGO,colombia-bolivar-cartagena-5801023-san-diego,5801023,,SRID=4326;POINT(-75.546802 10.429837),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,CHAMBACU,colombia-bolivar-cartagena-5801024-chambacu,5801024,,SRID=4326;POINT(-75.542614 10.426206),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,LOMA FRESCA,colombia-bolivar-cartagena-5801025-loma-fresca,5801025,,SRID=4326;POINT(-75.527292 10.42972),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,LOMAS DE SAN BERNARDO,colombia-bolivar-cartagena-5801026-lomas-de-san-bernardo,5801026,,SRID=4326;POINT(-75.518881 10.42776),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,EL CENTRO,colombia-bolivar-cartagena-5801027-el-centro,5801027,,SRID=4326;POINT(-75.551515 10.422517),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
251,,NARIÑO,colombia-bolivar-cartagena-5801028-narino,5801028,,SRID=4326;POINT(-75.529363 10.424258),1,1,2021-12-2 21:7:51,2021-12-2 21:7:51,5800003
