polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,city
251,,Villa Campestre,colombia-santander-giron-7504001-villa-campestre,7504001,,SRID=4326;POINT(-73.16667 7.065613),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,El Gallineral,colombia-santander-giron-7504002-el-gallineral,7504002,,SRID=4326;POINT(-73.17265 7.062108),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Casa Linda,colombia-santander-giron-7504003-casa-linda,7504003,,SRID=4326;POINT(-73.16601 7.064311),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Río de Oro,colombia-santander-giron-7504004-rio-de-oro,7504004,,SRID=4326;POINT(-73.17003 7.063463),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Villa Linda,colombia-santander-giron-7504005-villa-linda,7504005,,SRID=4326;POINT(-73.16585 7.062696),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Balcones de Galicia,colombia-santander-giron-7504006-balcones-de-galicia,7504006,,SRID=4326;POINT(-73.16584 7.061676),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Los Guayacanes,colombia-santander-giron-7504007-los-guayacanes,7504007,,SRID=4326;POINT(-73.16577 7.062212),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Portal Campestre,colombia-santander-giron-7504008-portal-campestre,7504008,,SRID=4326;POINT(-73.16750 7.061493),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Arenales,colombia-santander-giron-7504009-arenales,7504009,,SRID=4326;POINT(-73.17131 7.054065),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Santa Cruz,colombia-santander-giron-7504010-santa-cruz,7504010,,SRID=4326;POINT(-73.17098 7.060369),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Primera de Mayo,colombia-santander-giron-7504011-primera-de-mayo,7504011,,SRID=4326;POINT(-73.16851 7.059346),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Quinta Campestre,colombia-santander-giron-7504012-quinta-campestre,7504012,,SRID=4326;POINT(-73.17128 7.057221),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Arenales Campestre,colombia-santander-giron-7504013-arenales-campestre,7504013,,SRID=4326;POINT(-73.17130 7.056242),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Corviandi I,colombia-santander-giron-7504014-corviandi-i,7504014,,SRID=4326;POINT(-73.16941 7.058235),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Río Prado,colombia-santander-giron-7504015-rio-prado,7504015,,SRID=4326;POINT(-73.16768 7.056647),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Villas de San Juan,colombia-santander-giron-7504016-villas-de-san-juan,7504016,,SRID=4326;POINT(-73.16776 7.055651),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,El Consuelo,colombia-santander-giron-7504017-el-consuelo,7504017,,SRID=4326;POINT(-73.16653 7.058588),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Arenales IV,colombia-santander-giron-7504018-arenales-iv,7504018,,SRID=4326;POINT(-73.170369 7.053616),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
251,,Altos de Arenales,colombia-santander-giron-7504019-altos-de-arenales,7504019,,SRID=4326;POINT(-73.16809 7.054379),1,1,2021-10-14 18:37:22,2021-10-14 18:37:22,7500004
