polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,city
251,,MIRAFLORES,colombia-magdalena-santa-marta-7201001-miraflores,7201001,,SRID=4326;POINT(-74.185522 11.272793),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,CENTRO TAGANGA,colombia-magdalena-santa-marta-7201002-centro-taganga,7201002,,SRID=4326;POINT(-74.188072 11.269647),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,LA ANTENA,colombia-magdalena-santa-marta-7201003-la-antena,7201003,,SRID=4326;POINT(-74.185174 11.271264),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,HOLIWOOD,colombia-magdalena-santa-marta-7201004-holiwood,7201004,,SRID=4326;POINT(-74.192029 11.271205),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,DUMARUKA,colombia-magdalena-santa-marta-7201005-dumaruka,7201005,,SRID=4326;POINT(-74.190372 11.270261),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,CAMPING,colombia-magdalena-santa-marta-7201006-camping,7201006,,SRID=4326;POINT(-74.188038 11.266162),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,OASIS,colombia-magdalena-santa-marta-7201007-oasis,7201007,,SRID=4326;POINT(-74.182165 11.263137),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,ALTOS SAN JORGE,colombia-magdalena-santa-marta-7201008-altos-san-jorge,7201008,,SRID=4326;POINT(-74.195289 11.252942),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,OLAYA HERRERA,colombia-magdalena-santa-marta-7201009-olaya-herrera,7201009,,SRID=4326;POINT(-74.202169 11.252016),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,20 DE JULIO,colombia-magdalena-santa-marta-7201010-20-de-julio,7201010,,SRID=4326;POINT(-74.198263 11.251886),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,ALMENDROS,colombia-magdalena-santa-marta-7201011-almendros,7201011,,SRID=4326;POINT(-74.193491 11.247589),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,BETANIA,colombia-magdalena-santa-marta-7201012-betania,7201012,,SRID=4326;POINT(-74.197014 11.249971),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,ALTOS DELICIAS,colombia-magdalena-santa-marta-7201013-altos-delicias,7201013,,SRID=4326;POINT(-74.174214 11.248517),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,OBRERO,colombia-magdalena-santa-marta-7201014-obrero,7201014,,SRID=4326;POINT(-74.198745 11.248547),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,ALFONSO LOPEZ,colombia-magdalena-santa-marta-7201015-alfonso-lopez,7201015,,SRID=4326;POINT(-74.190101 11.247682),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,EL PRADITO,colombia-magdalena-santa-marta-7201016-el-pradito,7201016,,SRID=4326;POINT(-74.202109 11.249096),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,CHIMILA II,colombia-magdalena-santa-marta-7201017-chimila-ii,7201017,,SRID=4326;POINT(-74.168561 11.248131),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,MIRAFLORES,colombia-magdalena-santa-marta-7201018-miraflores,7201018,,SRID=4326;POINT(-74.202175 11.246967),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,CENTRO,colombia-magdalena-santa-marta-7201019-centro,7201019,,SRID=4326;POINT(-74.210855 11.243924),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
251,,BASTIDAS,colombia-magdalena-santa-marta-7201020-bastidas,7201020,,SRID=4326;POINT(-74.174336 11.245546),1,1,2022-1-13 17:55:17,2022-1-13 17:55:17,7200003
