polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,city
251,,Abadías,colombia-santander-floridablanca-7503001-abadias,7503001,,SRID=4326;POINT(-73.082065 7.057378),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Altamira,colombia-santander-floridablanca-7503002-altamira,7503002,,SRID=4326;POINT(-73.08241 7.063683),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,La Ronda,colombia-santander-floridablanca-7503003-la-ronda,7503003,,SRID=4326;POINT(-73.08224 7.06347),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Limoncito,colombia-santander-floridablanca-7503004-limoncito,7503004,,SRID=4326;POINT(-73.07888 7.064976),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Los Andes,colombia-santander-floridablanca-7503005-los-andes,7503005,,SRID=4326;POINT(-73.07820 7.063517),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Casco Antiguo,colombia-santander-floridablanca-7503006-casco-antiguo,7503006,,SRID=4326;POINT(-73.085706 7.063704),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Florida,colombia-santander-floridablanca-7503007-florida,7503007,,SRID=4326;POINT(-73.08731 7.061235),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Paraguitas,colombia-santander-floridablanca-7503008-paraguitas,7503008,,SRID=4326;POINT(-73.0871 7.065556),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Sena,colombia-santander-floridablanca-7503009-sena,7503009,,SRID=4326;POINT(-73.095643 7.06417),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Cañaveral Occidental,colombia-santander-floridablanca-7503010-canaveral-occidental,7503010,,SRID=4326;POINT(-73.10782 7.068912),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Cañaveral,colombia-santander-floridablanca-7503011-canaveral,7503011,,SRID=4326;POINT(-73.10782 7.068912),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Cañaveral Oriental,colombia-santander-floridablanca-7503012-canaveral-oriental,7503012,,SRID=4326;POINT(-73.10782 7.068912),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Versalles,colombia-santander-floridablanca-7503013-versalles,7503013,,SRID=4326;POINT(-73.100314 7.062852),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Aranzoque,colombia-santander-floridablanca-7503014-aranzoque,7503014,,SRID=4326;POINT(-73.086742 7.059595),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Buenos Aires,colombia-santander-floridablanca-7503015-buenos-aires,7503015,,SRID=4326;POINT(-73.08854 7.057255),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,La Paz,colombia-santander-floridablanca-7503016-la-paz,7503016,,SRID=4326;POINT(-73.09711 7.059854),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Campestre,colombia-santander-floridablanca-7503017-campestre,7503017,,SRID=4326;POINT(-73.10224 7.062456),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Bucarica,colombia-santander-floridablanca-7503018-bucarica,7503018,,SRID=4326;POINT(-73.08401 7.067858),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Caracolí,colombia-santander-floridablanca-7503019-caracoli,7503019,,SRID=4326;POINT(-73.08145 7.070091),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Caldas,colombia-santander-floridablanca-7503020-caldas,7503020,,SRID=4326;POINT(-73.10348 7.092127),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,El Reposo,colombia-santander-floridablanca-7503021-el-reposo,7503021,,SRID=4326;POINT(-73.09196 7.092353),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Fatima,colombia-santander-floridablanca-7503022-fatima,7503022,,SRID=4326;POINT(-73.10055 7.0956),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,La Trinidad,colombia-santander-floridablanca-7503023-la-trinidad,7503023,,SRID=4326;POINT(-73.09468 7.095968),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Zapamanga,colombia-santander-floridablanca-7503024-zapamanga,7503024,,SRID=4326;POINT(-73.10055 7.093675),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,El Bosque,colombia-santander-floridablanca-7503025-el-bosque,7503025,,SRID=4326;POINT(-73.10978 7.074064),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Molinos,colombia-santander-floridablanca-7503026-molinos,7503026,,SRID=4326;POINT(-73.10728 7.078134),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Palomitas,colombia-santander-floridablanca-7503027-palomitas,7503027,,SRID=4326;POINT(-73.11326 7.0717555),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Niza,colombia-santander-floridablanca-7503028-niza,7503028,,SRID=4326;POINT(-73.105052 7.084494),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Trinitarios,colombia-santander-floridablanca-7503029-trinitarios,7503029,,SRID=4326;POINT(-73.10868 7.084420),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Bellavista,colombia-santander-floridablanca-7503030-bellavista,7503030,,SRID=4326;POINT(-73.10579 7.094744),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Lagos,colombia-santander-floridablanca-7503031-lagos,7503031,,SRID=4326;POINT(-73.10581 7.0750345),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Santa Ana,colombia-santander-floridablanca-7503032-santa-ana,7503032,,SRID=4326;POINT(-73.099996 7.082044),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Villabel,colombia-santander-floridablanca-7503033-villabel,7503033,,SRID=4326;POINT(-73.10265 7.081014),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,El Carmen,colombia-santander-floridablanca-7503034-el-carmen,7503034,,SRID=4326;POINT(-73.085372 7.0841),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,La Cumbre,colombia-santander-floridablanca-7503035-la-cumbre,7503035,,SRID=4326;POINT(-73.08861 7.075985),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,La Hacienda,colombia-santander-floridablanca-7503036-la-hacienda,7503036,,SRID=4326;POINT(-73.093322 7.077529),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
251,,Ruitoque Condominio,colombia-santander-floridablanca-7503037-ruitoque-condominio,7503037,,SRID=4326;POINT(-73.087704 7.027448),1,1,2021-10-13 17:8:10,2021-10-13 17:8:10,7500004
