polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,city
251,,Villa Santos,colombia-atlantico-barranquilla-5701001-villa-santos,5701001,,SRID=4326;POINT(-74.83521 11.01169),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Poblado,colombia-atlantico-barranquilla-5701002-el-poblado,5701002,,SRID=4326;POINT(-74.82721 11.00622),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Altamira,colombia-atlantico-barranquilla-5701003-altamira,5701003,,SRID=4326;POINT(-74.82324 11.00533),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,San Vicente,colombia-atlantico-barranquilla-5701004-san-vicente,5701004,,SRID=4326;POINT(-74.81967 11.00679),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Altos del Limón,colombia-atlantico-barranquilla-5701005-altos-del-limon,5701005,,SRID=4326;POINT(-74.82378 11.01519),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Altos de Riomar,colombia-atlantico-barranquilla-5701006-altos-de-riomar,5701006,,SRID=4326;POINT(-74.81995 11.01475),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Santa Mónica,colombia-atlantico-barranquilla-5701007-santa-monica,5701007,,SRID=4326;POINT(-74.82215 11.01012),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Riomar,colombia-atlantico-barranquilla-5701008-riomar,5701008,,SRID=4326;POINT(-74.81594 11.01115),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Andalucía,colombia-atlantico-barranquilla-5701009-andalucia,5701009,,SRID=4326;POINT(-74.81494 11.01560),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Villa Campestre,colombia-atlantico-barranquilla-5701010-villa-campestre,5701010,,SRID=4326;POINT(-74.813154 11.01076),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Las Flores,colombia-atlantico-barranquilla-5701011-las-flores,5701011,,SRID=4326;POINT(-74.83451 11.04818),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,La Floresta,colombia-atlantico-barranquilla-5701012-la-floresta,5701012,,SRID=4326;POINT(-74.80866 11.02312),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,San Salvador,colombia-atlantico-barranquilla-5701013-san-salvador,5701013,,SRID=4326;POINT(-74.80431 11.02329),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Siape,colombia-atlantico-barranquilla-5701014-siape,5701014,,SRID=4326;POINT(-74.80166 11.02637),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Las Tres Avemarías,colombia-atlantico-barranquilla-5701015-las-tres-avemarias,5701015,,SRID=4326;POINT(-74.80791 11.02119),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Villa del Este,colombia-atlantico-barranquilla-5701016-villa-del-este,5701016,,SRID=4326;POINT(-74.81139 11.01379),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Castillo,colombia-atlantico-barranquilla-5701017-el-castillo,5701017,,SRID=4326;POINT(-74.80307 11.02156),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Solaire,colombia-atlantico-barranquilla-5701018-solaire,5701018,,SRID=4326;POINT(-74.81024 11.01481),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Limoncito,colombia-atlantico-barranquilla-5701019-el-limoncito,5701019,,SRID=4326;POINT(-74.81108 11.01951),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,La Castellana,colombia-atlantico-barranquilla-5701020-la-castellana,5701020,,SRID=4326;POINT(-74.813154 11.01076),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Villa Carolina,colombia-atlantico-barranquilla-5701021-villa-carolina,5701021,,SRID=4326;POINT(-74.81308 11.02409),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,La Campiña,colombia-atlantico-barranquilla-5701022-la-campina,5701022,,SRID=4326;POINT(-74.82422 11.00234),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Tabor,colombia-atlantico-barranquilla-5701023-el-tabor,5701023,,SRID=4326;POINT(-74.83293 10.99798),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Miramar,colombia-atlantico-barranquilla-5701024-miramar,5701024,,SRID=4326;POINT(-74.83689 11.00219),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Granadillo,colombia-atlantico-barranquilla-5701025-granadillo,5701025,,SRID=4326;POINT(-74.81902 11.00041),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Los Alpes,colombia-atlantico-barranquilla-5701026-los-alpes,5701026,,SRID=4326;POINT(-74.82521 10.99766),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Nuevo Horizonte,colombia-atlantico-barranquilla-5701027-nuevo-horizonte,5701027,,SRID=4326;POINT(-74.82234 10.99534),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Porvenir,colombia-atlantico-barranquilla-5701028-el-porvenir,5701028,,SRID=4326;POINT(-74.81185 10.99834),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Altos del Prado,colombia-atlantico-barranquilla-5701029-altos-del-prado,5701029,,SRID=4326;POINT(-74.80888 11.00418),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Golf,colombia-atlantico-barranquilla-5701030-el-golf,5701030,,SRID=4326;POINT(-74.80856 11.00912),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Country,colombia-atlantico-barranquilla-5701031-el-country,5701031,,SRID=4326;POINT(-74.825499 10.993471),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Paraíso,colombia-atlantico-barranquilla-5701032-paraiso,5701032,,SRID=4326;POINT(-74.80505 11.01350),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,La Concepción,colombia-atlantico-barranquilla-5701033-la-concepcion,5701033,,SRID=4326;POINT(-74.79889 11.00933),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,San Francisco,colombia-atlantico-barranquilla-5701034-san-francisco,5701034,,SRID=4326;POINT(-74.79262 11.00469),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Santa Ana,colombia-atlantico-barranquilla-5701035-santa-ana,5701035,,SRID=4326;POINT(-74.825499 10.993471),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,América,colombia-atlantico-barranquilla-5701036-america,5701036,,SRID=4326;POINT(-74.80723 10.99714),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Colombia,colombia-atlantico-barranquilla-5701037-colombia,5701037,,SRID=4326;POINT(-74.80430 10.99426),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Prado,colombia-atlantico-barranquilla-5701038-el-prado,5701038,,SRID=4326;POINT(-74.79701 10.99642),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Bellavista,colombia-atlantico-barranquilla-5701039-bellavista,5701039,,SRID=4326;POINT(-74.79432 11.00086),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Modelo,colombia-atlantico-barranquilla-5701040-modelo,5701040,,SRID=4326;POINT(-74.78416 11.00680),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Montecristo,colombia-atlantico-barranquilla-5701041-montecristo,5701041,,SRID=4326;POINT(-74.78722 10.99566),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Abajo,colombia-atlantico-barranquilla-5701042-abajo,5701042,,SRID=4326;POINT(-74.78215 10.98958),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,La Cumbre,colombia-atlantico-barranquilla-5701043-la-cumbre,5701043,,SRID=4326;POINT(-74.82825 10.99796),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Ciudad Jardín,colombia-atlantico-barranquilla-5701044-ciudad-jardin,5701044,,SRID=4326;POINT(-74.81951 10.99118),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Campo Alegre,colombia-atlantico-barranquilla-5701045-campo-alegre,5701045,,SRID=4326;POINT(-74.82980 10.98785),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Las Colinas,colombia-atlantico-barranquilla-5701046-las-colinas,5701046,,SRID=4326;POINT(-74.81930 10.98337),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Los Jobos,colombia-atlantico-barranquilla-5701047-los-jobos,5701047,,SRID=4326;POINT(-74.81699 10.98911),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Los Nogales,colombia-atlantico-barranquilla-5701048-los-nogales,5701048,,SRID=4326;POINT(-74.82882 10.99337),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Las Mercedes,colombia-atlantico-barranquilla-5701049-las-mercedes,5701049,,SRID=4326;POINT(-74.81560 10.98864),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Betania,colombia-atlantico-barranquilla-5701050-betania,5701050,,SRID=4326;POINT(-74.81282 10.98953),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Las Delicias,colombia-atlantico-barranquilla-5701051-las-delicias,5701051,,SRID=4326;POINT(-74.80796 10.98752),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Recreo,colombia-atlantico-barranquilla-5701052-el-recreo,5701052,,SRID=4326;POINT(-74.79808 10.98263),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Boston,colombia-atlantico-barranquilla-5701053-boston,5701053,,SRID=4326;POINT(-74.79548 10.98964),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Rosario,colombia-atlantico-barranquilla-5701054-el-rosario,5701054,,SRID=4326;POINT(-74.825499 10.993471),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Centro,colombia-atlantico-barranquilla-5701055-centro,5701055,,SRID=4326;POINT(-74.77724 10.98081),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Barlovento,colombia-atlantico-barranquilla-5701056-barlovento,5701056,,SRID=4326;POINT(-74.77699 10.98817),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Villanueva,colombia-atlantico-barranquilla-5701057-villanueva,5701057,,SRID=4326;POINT(-74.825499 10.993471),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Boliche,colombia-atlantico-barranquilla-5701058-el-boliche,5701058,,SRID=4326;POINT(-74.77081 10.97570),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,La Sierra,colombia-atlantico-barranquilla-5701059-la-sierra,5701059,,SRID=4326;POINT(-74.80378 10.95585),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,La Victoria,colombia-atlantico-barranquilla-5701060-la-victoria,5701060,,SRID=4326;POINT(-74.79789 10.95261),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Los Continentes,colombia-atlantico-barranquilla-5701061-los-continentes,5701061,,SRID=4326;POINT(-74.80387 10.95046),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Kennedy,colombia-atlantico-barranquilla-5701062-kennedy,5701062,,SRID=4326;POINT(-74.80650 10.94966),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,La Sierrita,colombia-atlantico-barranquilla-5701063-la-sierrita,5701063,,SRID=4326;POINT(-74.81526 10.94601),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Santuario,colombia-atlantico-barranquilla-5701064-el-santuario,5701064,,SRID=4326;POINT(-74.80442 10.94376),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Las Américas,colombia-atlantico-barranquilla-5701065-las-americas,5701065,,SRID=4326;POINT(-74.81412 10.94360),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Carrizal,colombia-atlantico-barranquilla-5701066-carrizal,5701066,,SRID=4326;POINT(-74.80917 10.93638),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Buenos Aires,colombia-atlantico-barranquilla-5701067-buenos-aires,5701067,,SRID=4326;POINT(-74.79997 10.93959),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Santo Domingo de Guzmán,colombia-atlantico-barranquilla-5701068-santo-domingo-de-guzman,5701068,,SRID=4326;POINT(-74.81918 10.94030),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Villa San Pedro,colombia-atlantico-barranquilla-5701069-villa-san-pedro,5701069,,SRID=4326;POINT(-74.814517 10.936412),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,San Luis,colombia-atlantico-barranquilla-5701070-san-luis,5701070,,SRID=4326;POINT(-74.82632 10.94033),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Veinte de Julio,colombia-atlantico-barranquilla-5701071-veinte-de-julio,5701071,,SRID=4326;POINT(-74.83053 10.93237),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Santa María,colombia-atlantico-barranquilla-5701072-santa-maria,5701072,,SRID=4326;POINT(-74.82442 10.93234),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Villa Sevilla,colombia-atlantico-barranquilla-5701073-villa-sevilla,5701073,,SRID=4326;POINT(-74.80528 10.92225),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Las Granjas,colombia-atlantico-barranquilla-5701074-las-granjas,5701074,,SRID=4326;POINT(-74.82567 10.92394),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Siete de Abril,colombia-atlantico-barranquilla-5701075-siete-de-abril,5701075,,SRID=4326;POINT(-74.81858 10.92906),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Los Girasoles,colombia-atlantico-barranquilla-5701076-los-girasoles,5701076,,SRID=4326;POINT(-74.80562 10.92506),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Ciudadela Veinte de Julio,colombia-atlantico-barranquilla-5701077-ciudadela-veinte-de-julio,5701077,,SRID=4326;POINT(-74.80166 10.92887),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Santa Helena,colombia-atlantico-barranquilla-5701078-santa-helena,5701078,,SRID=4326;POINT(-74.78150 10.94579),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,San Roque,colombia-atlantico-barranquilla-5701079-san-roque,5701079,,SRID=4326;POINT(-74.78014 10.97027),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Realengo,colombia-atlantico-barranquilla-5701080-realengo,5701080,,SRID=4326;POINT(-74.814517 10.936412),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,La Pradera,colombia-atlantico-barranquilla-5701081-la-pradera,5701081,,SRID=4326;POINT(-74.84171 10.97753),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Los Olivos,colombia-atlantico-barranquilla-5701082-los-olivos,5701082,,SRID=4326;POINT(-74.818463 10.96512),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,El Pueblo,colombia-atlantico-barranquilla-5701083-el-pueblo,5701083,,SRID=4326;POINT(-74.84097 10.96155),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Las Estrellas,colombia-atlantico-barranquilla-5701084-las-estrellas,5701084,,SRID=4326;POINT(-74.83283 10.98256),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Pastoral Social,colombia-atlantico-barranquilla-5701085-pastoral-social,5701085,,SRID=4326;POINT(-74.83032 10.98057),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Villa del Rosario,colombia-atlantico-barranquilla-5701086-villa-del-rosario,5701086,,SRID=4326;POINT(-74.818463 10.96512),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
251,,Las Terrazas,colombia-atlantico-barranquilla-5701087-las-terrazas,5701087,,SRID=4326;POINT(-74.82046 10.98319),1,1,2021-11-9 18:25:33,2021-11-9 18:25:33,5700003
