polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,city
251,,Limoncito,colombia-santander-floridablanca-7503004-limoncito,7503004,,SRID=4326;POINT(-73.07888 7.064976),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Los Andes,colombia-santander-floridablanca-7503005-los-andes,7503005,,SRID=4326;POINT(-73.07820 7.063517),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Florida,colombia-santander-floridablanca-7503007-florida,7503007,,SRID=4326;POINT(-73.08731 7.061235),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Paraguitas,colombia-santander-floridablanca-7503008-paraguitas,7503008,,SRID=4326;POINT(-73.0871 7.065556),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Sena,colombia-santander-floridablanca-7503009-sena,7503009,,SRID=4326;POINT(-73.095643 7.06417),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Cañaveral,colombia-santander-floridablanca-7503011-canaveral,7503011,,SRID=4326;POINT(-73.10782 7.068912),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Bucarica,colombia-santander-floridablanca-7503018-bucarica,7503018,,SRID=4326;POINT(-73.08401 7.067858),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Caldas,colombia-santander-floridablanca-7503020-caldas,7503020,,SRID=4326;POINT(-73.10348 7.092127),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,El Reposo,colombia-santander-floridablanca-7503021-el-reposo,7503021,,SRID=4326;POINT(-73.09196 7.092353),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Fatima,colombia-santander-floridablanca-7503022-fatima,7503022,,SRID=4326;POINT(-73.10055 7.0956),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,El Bosque,colombia-santander-floridablanca-7503025-el-bosque,7503025,,SRID=4326;POINT(-73.10978 7.074064),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Molinos,colombia-santander-floridablanca-7503026-molinos,7503026,,SRID=4326;POINT(-73.10728 7.078134),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Palomitas,colombia-santander-floridablanca-7503027-palomitas,7503027,,SRID=4326;POINT(-73.11326 7.0717555),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Niza,colombia-santander-floridablanca-7503028-niza,7503028,,SRID=4326;POINT(-73.105052 7.084494),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Bellavista,colombia-santander-floridablanca-7503030-bellavista,7503030,,SRID=4326;POINT(-73.10579 7.094744),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Lagos,colombia-santander-floridablanca-7503031-lagos,7503031,,SRID=4326;POINT(-73.10581 7.0750345),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
251,,Ruitoque Condominio,colombia-santander-floridablanca-7503037-ruitoque-condominio,7503037,,SRID=4326;POINT(-73.087704 7.027448),1,1,2021-10-6 17:11:32,2021-10-6 17:11:32,7500001
