polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,group,location
249,,ZONA MARIA EUGENIA - PANDO,colombia-magdalena-santa-marta-7200101-zona-maria-eugenia-pando,7200101,,SRID=4326;POINT(-74.206123 11.219027),1,1,2022-1-13 17:52:19,2022-1-13 17:52:19,zonas,"7200003,7201096,7201099,7201103,7201109,7201116,7201118,7201119,7201121,7201122,7201124,7201133,7201134,7201136,7201137,7201139,7201140,7201141,7201142,7201143,7201144,7201146,7201147,7201148,7201150,7201151,7201152,7201154,7201155,7201156,7201158,7201159,7201160,7201162,7201163,7201165,7201166,7201243,7201244,7201245,7201246,7201248,7201249,7201254,7201293,7201308,7201364,7201365,7201366,7201376,7201377,7201378,7201381,7201382"
249,,ZONA CENTRAL,colombia-magdalena-santa-marta-7200102-zona-central,7200102,,SRID=4326;POINT(-74.210072 11.237422),1,1,2022-1-13 17:52:19,2022-1-13 17:52:19,zonas,"7200003,7201019,7201055,7201057,7201060,7201065,7201067,7201072,7201081,7201082,7201085,7201086,7201095,7201100,7201106"
249,,ZONA PESCAITO,colombia-magdalena-santa-marta-7200103-zona-pescaito,7200103,,SRID=4326;POINT(-74.19036 11.260819),1,1,2022-1-13 17:52:19,2022-1-13 17:52:19,zonas,"7200003,7201006,7201007,7201008,7201009,7201010,7201011,7201012,7201014,7201015,7201016,7201018,7201022,7201023,7201026,7201031,7201237,7201250,7201251,7201255,7201347,7201348,7201349,7201350,7201351,7201352,7201353,7201354,7201355,7201356,7201357"
249,,ZONA POLIDEPORTIVO - EL JARDIN,colombia-magdalena-santa-marta-7200104-zona-polideportivo-el-jardin,7200104,,SRID=4326;POINT(-74.196124 11.240831),1,1,2022-1-13 17:52:19,2022-1-13 17:52:19,zonas,"7200003,7201025,7201029,7201030,7201032,7201033,7201034,7201035,7201036,7201038,7201040,7201041,7201042,7201043,7201044,7201045,7201047,7201048,7201049,7201053,7201056,7201059,7201061,7201062,7201064,7201066,7201069,7201083,7201088,7201092,7201097,7201101,7201104,7201105,7201115,7201294,7201295,7201296,7201297"
249,,ZONA SANTA FE - BASTIDAS,colombia-magdalena-santa-marta-7200105-zona-santa-fe-bastidas,7200105,,SRID=4326;POINT(-74.179687 11.238937),1,1,2022-1-13 17:52:19,2022-1-13 17:52:19,zonas,"7200003,7201013,7201017,7201020,7201021,7201024,7201027,7201028,7201037,7201039,7201046,7201050,7201051,7201052,7201054,7201058,7201063,7201070,7201071,7201073,7201074,7201075,7201076,7201077,7201079,7201084,7201087,7201089,7201091,7201093,7201098,7201102,7201108,7201110,7201111,7201112,7201117,7201241,7201265,7201334,7201335,7201336,7201337,7201338,7201339,7201340,7201341,7201342,7201343,7201344,7201345,7201346,7201367,7201368,7201369,7201370,7201371,7201372,7201373,7201374,7201375"
249,,ZONA PARQUE - 11 DE NOVIEMBRE,colombia-magdalena-santa-marta-7200106-zona-parque-11-de-noviembre,7200106,,SRID=4326;POINT(-74.171405 11.231108),1,1,2022-1-13 17:52:19,2022-1-13 17:52:19,zonas,"7200003,7201068,7201080,7201090,7201094,7201107,7201113,7201114,7201120,7201123,7201125,7201126,7201127,7201128,7201129,7201130,7201131,7201132,7201135,7201138,7201145,7201149,7201153,7201157,7201161,7201164,7201171,7201256,7201258,7201259,7201261,7201262,7201267,7201277,7201289,7201300,7201301,7201302,7201303,7201304,7201305,7201306,7201307,7201324,7201325,7201326,7201327,7201330,7201331,7201332,7201333"
249,,ZONA RODADERO - GAIRA,colombia-magdalena-santa-marta-7200107-zona-rodadero-gaira,7200107,,SRID=4326;POINT(-74.221315 11.191958),1,1,2022-1-13 17:52:19,2022-1-13 17:52:19,zonas,"7200003,7201192,7201193,7201195,7201200,7201201,7201202,7201203,7201204,7201205,7201206,7201207,7201208,7201209,7201210,7201211,7201212,7201213,7201214,7201215,7201216,7201217,7201218,7201219,7201220,7201221,7201222,7201247,7201252,7201253,7201266,7201315,7201316,7201317,7201318,7201319,7201323,7201363,7201379,7201380,7201383,7201384"
249,,ZONA POZO COLORADO - PIEDRA INCA,colombia-magdalena-santa-marta-7200108-zona-pozo-colorado-piedra-inca,7200108,,SRID=4326;POINT(-74.220586 11.14366),1,1,2022-1-13 17:52:19,2022-1-13 17:52:19,zonas,"7200003,7201223,7201224,7201225,7201226,7201227,7201228,7201229,7201230,7201231,7201233,7201235,7201236,7201238,7201239,7201311,7201312,7201313,7201314"
249,,ZONA BURECHE LA CONCEPCIÓN,colombia-magdalena-santa-marta-7200109-zona-bureche-la-concepcion,7200109,,SRID=4326;POINT(-74.176508 11.216646),1,1,2022-1-13 17:52:19,2022-1-13 17:52:19,zonas,"7200003,7201167,7201168,7201169,7201170,7201172,7201173,7201174,7201175,7201176,7201177,7201178,7201179,7201180,7201181,7201182,7201183,7201184,7201185,7201186,7201187,7201188,7201189,7201190,7201191,7201194,7201196,7201197,7201198,7201199,7201242,7201257,7201260,7201263,7201264,7201268,7201269,7201270,7201271,7201272,7201273,7201274,7201275,7201276,7201278,7201279,7201280,7201281,7201282,7201283,7201284,7201285,7201286,7201287,7201288,7201290,7201291,7201292,7201298,7201299,7201309,7201310,7201321,7201322,7201358,7201359,7201360,7201361,7201362"
249,,ZONA CORREGIMIENTO BONDA,colombia-magdalena-santa-marta-7200110-zona-corregimiento-bonda,7200110,,SRID=4326;POINT(-74.111081 11.235532),1,1,2022-1-13 17:52:19,2022-1-13 17:52:19,zonas,"7200003,7201078,7201328,7201329"
