Cod_Dept,Cod_Ciudad,Ciudad,NUM_OF_ADS
54,5400003,Leticia,13
54,5400002,Otros municipios,11
55,5500006,Medellín,47936
55,5500001,Envigado,11438
55,5500016,Sabaneta,5559
55,5500004,Rionegro,4449
55,5500005,Bello,4445
55,5500002,Itaguí,3214
55,5500003,La Estrella,2774
55,5500007,Otros Municipios,1513
55,5500013,El Retiro,1347
55,5500012,La Ceja,973
55,5500018,Guarne,731
55,5500008,Copacabana,505
55,5500019,Santa Fé de Antioquia,392
55,5500025,San Jerónimo,327
55,5500011,Caldas,317
55,8500164,Sopetran,306
55,5500009,Girardota,296
55,5500024,Marinilla,266
55,5500026,El Carmen de Viboral,238
55,5500010,Barbosa,144
55,5500020,Llano Grande,122
55,5500027,El Peñol,108
55,5500022,San Antonio de Pereira,69
55,5500023,Guatapé,69
55,5500040,Santa Elena,56
55,5500029,Santuario,50
55,5500032,San Pedro de los Milagros,46
55,5500021,San Antonio de Prado,42
55,5500037,Fredonia,31
55,5500035,Santa Rosa de Osos,27
55,5500028,La Unión,21
55,8500183,Amagá,18
55,8500186,Venecia,18
55,8500180,Santa Bárbara,15
55,8500174,Jardín,14
55,5500017,Caucasia,12
55,5500041,San Luis,10
55,5500030,San Cristobal,10
55,5500031,San Felix,9
55,8500176,La Pintada,9
55,5500042,Angelópolis,6
55,8500187,"Titiribí ",6
55,5500034,Don Matias,5
55,8500177,Montebello,5
55,5500038,Puerto Triunfo,4
55,8500184,Urrao,3
55,8500181,Támesis,3
55,5500033,Entrerrios,3
55,8500185,Valparaíso,3
55,8500165,Andes,2
55,5500043,Betania,2
55,8500179,Salgar,2
55,8500173,Hispania,2
55,8500178,Pueblorrico,2
55,8500172,Concordia,2
55,8500175,Jericó,1
55,5500039,Doradal,1
56,5600002,Arauca,7
56,5600001,Otros municipios,7
57,5700003,Barranquilla,25614
57,5700002,Otros municipios,1125
57,5700009,Puerto Colombia,941
57,5700005,Soledad,477
57,5700010,Galapa,53
57,5700011,Malambo,32
57,5700004,Sabanalarga,27
57,5700013,Juan de Acosta,12
57,5700007,Ponedera,2
57,5700008,Candelaria,2
57,5700012,Tubará,2
57,5700006,Luruaco,1
58,5800003,Cartagena,15484
58,5800004,Turbaco,397
58,5800002,Otros municipios,128
58,5800007,Mompós,30
58,5800006,Magangué,6
58,5800005,El Carmen de Bolívar,2
59,5900003,Tunja,1265
59,5900002,Otros municipios,314
59,5900004,Paipa,311
59,5900005,Duitama,288
59,5900006,Sogamoso,197
59,5900010,Villa de Leyva,189
59,5900007,Chiquinquirá,69
59,5900008,Moniquirá,53
59,5900009,Puerto Boyacá,22
59,5900011,Jenesano,20
60,6000006,Manizales,12749
60,6000009,Villamaria,321
