PK_LocationId,Location,Preposition,LocationWASId,ParentLevel,Weight,Map,Order,Status,Latitude,Longitude,polygonVertex,majorLocation
5801001,CRESPO,'',5801001,5800101,0,0,0,2,10.447525,-75.518483,'',NULL
5801002,MARBELLA,'',5801002,5800101,0,0,0,2,10.437609,-75.532654,'',NULL
5801003,DANIEL LEMAITRE,'',5801003,5800101,0,0,0,2,10.437131,-75.520244,'',NULL
5801004,SANTA MARIA,'',5801004,5800101,0,0,0,2,10.44114,-75.517365,'',NULL
5801005,CANAPOTE,'',5801005,5800101,0,0,0,2,10.439998,-75.524146,'',NULL
5801006,SAN PEDRO Y LIBERTAD,'',5801006,5800101,0,0,0,2,10.437762,-75.530376,'',NULL
5801007,SIETE DE AGOSTO,'',5801007,5800101,0,0,0,2,10.439358,-75.51484,'',NULL
5801008,SAN FRANCISCO,'',5801008,5800101,0,0,0,2,10.430993,-75.516551,'',NULL
5801009,PABLO VIII,'',5801009,5800101,0,0,0,2,10.434995,-75.524176,'',NULL
5801010,PEDRO SALAZAR,'',5801010,5800101,0,0,0,2,10.43563,-75.525688,'',NULL
5801011,LOS COMUNEROS,'',5801011,5800101,0,0,0,2,10.434192,-75.526472,'',NULL
5801012,EL CABRERO,'',5801012,5800101,0,0,0,2,10.433033,-75.542828,'',NULL
5801013,PETARE,'',5801013,5800101,0,0,0,2,10.433209,-75.525834,'',NULL
5801014,LA PAZ,'',5801014,5800101,0,0,0,2,10.432596,-75.520593,'',NULL
5801015,PALESTINA,'',5801015,5800101,0,0,0,2,10.431917,-75.524125,'',NULL
5801016,REPUBLICA DEL CARIBE,'',5801016,5800101,0,0,0,2,10.432453,-75.524754,'',NULL
5801017,PAPAYAL,'',5801017,5800101,0,0,0,2,10.432744,-75.537198,'',NULL
5801018,PARAISO II,'',5801018,5800101,0,0,0,2,10.430971,-75.526412,'',NULL
5801019,PABLO VI,'',5801019,5800101,0,0,0,2,10.431856,-75.527324,'',NULL
5801020,SAN DIEGO,'',5801020,5800101,0,0,0,2,10.429837,-75.546802,'',NULL
5801021,CHAMBACU,'',5801021,5800101,0,0,0,2,10.426206,-75.542614,'',NULL
5801022,LOMA FRESCA,'',5801022,5800101,0,0,0,2,10.42972,-75.527292,'',NULL
5801023,LOMAS DE SAN BERNARDO,'',5801023,5800101,0,0,0,2,10.42776,-75.518881,'',NULL
5801024,EL CENTRO,'',5801024,5800101,0,0,0,2,10.422517,-75.551515,'',NULL
5801025,NARIÑO,'',5801025,5800101,0,0,0,2,10.424258,-75.529363,'',NULL
5801026,EL PARAISO 1,'',5801026,5800101,0,0,0,2,10.426548,-75.514579,'',NULL
5801027,LA MATUNA,'',5801027,5800101,0,0,0,2,10.423992,-75.545862,'',NULL
5801028,LOMAS DEL CIELO,'',5801028,5800102,0,0,0,2,10.423651,-75.521169,'',NULL
5801029,LA MARIA,'',5801029,5800102,0,0,0,2,10.420845,-75.518172,'',NULL
5801030,ESPINAL,'',5801030,5800101,0,0,0,2,10.423453,-75.539057,'',NULL
5801031,LAS FLORES,'',5801031,5800102,0,0,0,2,10.421433,-75.520238,'',NULL
5801032,EL POZON,'',5801032,5800102,0,0,0,2,10.412253,-75.461232,'',NULL
5801033,PIE DEL CERRO,'',5801033,5800101,0,0,0,2,10.420907,-75.539281,'',NULL
5801034,GETSEMANI,'',5801034,5800101,0,0,0,2,10.421412,-75.54576,'',NULL
5801035,PIE DE POPA,'',5801035,5800101,0,0,0,2,10.417692,-75.534151,'',NULL
5801036,OLAYA SC RICAURTE,'',5801036,5800102,0,0,0,2,10.414832,-75.491674,'',NULL
5801037,OLAYA SC CENTRAL,'',5801037,5800102,0,0,0,2,10.414359,-75.484932,'',NULL
5801038,PUERTO PESCADORES,'',5801038,5800102,0,0,0,2,10.417057,-75.516052,'',NULL
5801039,CHINO,'',5801039,5800101,0,0,0,2,10.413566,-75.528424,'',NULL
5801040,OBRERO,'',5801040,5800102,0,0,0,2,10.416615,-75.522694,'',NULL
5801041,LA ESPERANZA,'',5801041,5800102,0,0,0,2,10.414429,-75.518984,'',NULL
5801042,LA CANDELARIA,'',5801042,5800102,0,0,0,2,10.413672,-75.512759,'',NULL
5801043,BOSTON,'',5801043,5800102,0,0,0,2,10.411786,-75.50786,'',NULL
5801044,REPUBLICA DEL LIBANO,'',5801044,5800102,0,0,0,2,10.413035,-75.50419,'',NULL
5801045,OLAYA SC RAFAEL NUÑEZ,'',5801045,5800102,0,0,0,2,10.412436,-75.49889,'',NULL
5801046,OLAYA SC 11 DE NOVIEMBRE,'',5801046,5800102,0,0,0,2,10.412311,-75.493626,'',NULL
5801047,EL PRADO,'',5801047,5800101,0,0,0,2,10.409217,-75.520266,'',NULL
5801048,ALCIBIA,'',5801048,5800102,0,0,0,2,10.411694,-75.518886,'',NULL
5801049,CIELO MAR,'',5801049,5800101,0,0,0,2,10.411145,-75.524225,'',NULL
5801050,NUEVO PARAISO,'',5801050,5800102,0,0,0,2,10.405438,-75.470261,'',NULL
5801051,FREDONIA,'',5801051,5800102,0,0,0,2,10.408125,-75.474793,'',NULL
5801052,OLAYA SC LA PUNTILLA,'',5801052,5800102,0,0,0,2,10.410328,-75.482014,'',NULL
5801053,MARTINEZ MARTELO,'',5801053,5800101,0,0,0,2,10.408371,-75.523296,'',NULL
5801054,OLAYA SC EL PROGRESO,'',5801054,5800102,0,0,0,2,10.409621,-75.479949,'',NULL
5801055,MARIA AUXILIADORA,'',5801055,5800102,0,0,0,2,10.409245,-75.512536,'',NULL
5801056,VILLA ESTELA,'',5801056,5800102,0,0,0,2,10.406215,-75.464539,'',NULL
5801057,OLAYA SC PLAYA BLANCA,'',5801057,5800102,0,0,0,2,10.407542,-75.478543,'',NULL
5801058,OLAYA SC ZARABANDA,'',5801058,5800102,0,0,0,2,10.408684,-75.476619,'',NULL
5801059,TESCA,'',5801059,5800102,0,0,0,2,10.407289,-75.502368,'',NULL
5801060,AMBERES,'',5801060,5800101,0,0,0,2,10.406048,-75.51498,'',NULL
5801061,ESPAÑA,'',5801061,5800101,0,0,0,2,10.40419,-75.512087,'',NULL
5801062,ARMENIA,'',5801062,5800101,0,0,0,2,10.405478,-75.506809,'',NULL
5801063,BRUSELAS,'',5801063,5800101,0,0,0,2,10.404108,-75.517599,'',NULL
5801064,TERMINAL DE TRANSPORTE,'',5801064,5800103,0,0,0,2,10.401564,-75.453964,'',NULL
