city,zone,zone_cod
SANTA MARTA,Taganga,7200113
SANTA MARTA,Comuna Central,7200102
SANTA MARTA,polideportivo y ciudad jardin,7200104
SANTA MARTA,Pescaito,7200103
SANTA MARTA,Santafe y bastida,7200105
SANTA MARTA,Mamatoco y Once de Noviembre,7200106
SANTA MARTA,Eugenia y el pando,7200101
SANTA MARTA,Rodadero y gayra,7200107
SANTA MARTA,Bureche la concepcion,7200109
SANTA MARTA,pozos colorados y piedra incada,7200108
MANIZALES,Zona 1 Norte,6000101
MANIZALES,Zona 2 Sur,6000102
MANIZALES,Zona 3 Alrededores,6000103
