lupap_codes
Departamento;Municipio;código ciudad
Bogotá, d.c.;Bogotá, d.c.;bogota
Amazonas;El Encanto;ama_el_encanto
Amazonas;La Chorrera;ama_la_chorrera
Amazonas;La Pedrera;ama_la_pedrera
Amazonas;La Victoria;ama_la_victoria
Amazonas;Leticia;leticia
Amazonas;Mirití - Paraná;ama_miriti_parana
Amazonas;Puerto Alegría;ama_puerto_alegria
Amazonas;Puerto Arica;ama_puerto_arica
Amazonas;Puerto Nariño;ama_puerto_narino
Amazonas;Puerto Santander;ama_santander
Amazonas;Tarapacá;ama_tarapaca
Antioquia;Medellín;medellin
Antioquia;Abejorral;ant_abejorral
Antioquia;Abriaquí;ant_abriaqui
Antioquia;Alejandría;ant_alejandria
Antioquia;Amagá;ant_amaga
Antioquia;Amalfi;ant_amalfi
Antioquia;Andes;ant_andes
Antioquia;Angelópolis;ant_angelopolis
Antioquia;Angostura;ant_angostura
Antioquia;Anorí;ant_anori
Antioquia;Anzá;ant_anza
Antioquia;Apartadó;ant_apartado
Antioquia;Arboletes;ant_arboletes
Antioquia;Argelia;ant_argelia
Antioquia;Armenia;ant_armenia
Antioquia;Barbosa;ant_barbosa
Antioquia;Bello;ant_bello
Antioquia;Belmira;ant_belmira
Antioquia;Betania;ant_betania
Antioquia;Betulia;ant_betulia
Antioquia;Briceño;ant_briceno
Antioquia;Buriticá;ant_buritica
Antioquia;Cáceres;ant_caceres
Antioquia;Caicedo;ant_caicedo
Antioquia;Caldas;ant_caldas
Antioquia;Campamento;ant_campamento
Antioquia;Cañasgordas;ant_canasgordas
Antioquia;Caracolí;ant_caracoli
Antioquia;Caramanta;ant_caramanta
Antioquia;Carepa;ant_carepa
Antioquia;Carmen De Viboral;ant_carmen_de_viboral
Antioquia;Carolina;ant_carolina
Antioquia;Caucasia;ant_caucasia
Antioquia;Chigorodó;ant_chigorodo
Antioquia;Cisneros;ant_cisneros
Antioquia;Ciudad Bolívar;ant_ciudad_bolivar
Antioquia;Cocorná;ant_cocorna
Antioquia;Concepción;ant_concepcion
Antioquia;Concordia;ant_concordia
Antioquia;Copacabana;ant_copacabana
Antioquia;Dabeiba;ant_dabeiba
